#syntax: iterationNumber, AccelX, minX, maxX, minIteration, maxIteration
Start measure: 	77
Stop measure: 	0	Result: FORWARD
4	-0.0146484	[0:0.314209]	[2000000:12]
4	-0.017334	[0:0.314209]	[2000000:12]
4	-0.0195312	[0:0.314209]	[2000000:12]
4	-0.017334	[0:0.314209]	[2000000:12]
4	-0.0065918	[0:0.314209]	[2000000:12]
4	-0.00756836	[0:0.314209]	[2000000:12]
result : BACKWARD:(

5	-0.000244141	[0:0]	[2000000:2000000]
5	0.00634766	[0:0]	[2000000:2000000]
5	0.0065918	[0:0]	[2000000:2000000]
5	0.032959	[0:0]	[2000000:2000000]
5	0.0373535	[0:0]	[2000000:2000000]
5	0.0131836	[0:0]	[2000000:2000000]
5	-0.00268555	[0:0]	[2000000:2000000]
5	0.00732422	[0:0]	[2000000:2000000]
5	0.0356445	[0:0]	[2000000:2000000]
5	-0.00952148	[0:0]	[2000000:2000000]
5	0.178955	[0:0]	[2000000:2000000]
5	0.0292969	[0:0]	[2000000:2000000]
5	-0.00268555	[0:0]	[2000000:2000000]
5	0.0292969	[0:0]	[2000000:2000000]
5	-0.0961914	[0:0]	[2000000:2000000]
5	-0.0615234	[0:0]	[2000000:2000000]
5	-0.0825195	[0:0]	[2000000:2000000]
5	0.0368652	[0:0]	[2000000:2000000]
5	-0.0556641	[0:0]	[2000000:2000000]
5	-0.00219727	[0:0]	[2000000:2000000]
5	0.0241699	[0:0]	[2000000:2000000]
5	-0.0166016	[0:0]	[2000000:2000000]
5	-0.00976562	[0:0]	[2000000:2000000]
5	-0.0297852	[0:0]	[2000000:2000000]
5	0.0263672	[0:0]	[2000000:2000000]
5	0.0478516	[0:0]	[2000000:2000000]
5	0.00341797	[0:0]	[2000000:2000000]
5	-0.0134277	[0:0]	[2000000:2000000]
5	-0.0397949	[0:0]	[2000000:2000000]
5	0.00732422	[0:0]	[2000000:2000000]
5	-0.00708008	[0:0]	[2000000:2000000]
5	0.0214844	[0:0]	[2000000:2000000]
5	-0.0151367	[0:0]	[2000000:2000000]
5	-0.032959	[0:0]	[2000000:2000000]
5	-0.00732422	[0:0]	[2000000:2000000]
5	0.00537109	[0:0]	[2000000:2000000]
5	-0.0153809	[0:0]	[2000000:2000000]
5	-0.0136719	[0:0]	[2000000:2000000]
5	-0.0288086	[0:0]	[2000000:2000000]
5	0.00708008	[0:0]	[2000000:2000000]
5	0.020752	[0:0]	[2000000:2000000]
5	0.00756836	[0:0]	[2000000:2000000]
5	0.0134277	[0:0]	[2000000:2000000]
5	-0.000976562	[0:0]	[2000000:2000000]
5	0.0178223	[0:0]	[2000000:2000000]
5	0.0224609	[0:0]	[2000000:2000000]
5	0.00805664	[0:0]	[2000000:2000000]
5	0.0163574	[0:0]	[2000000:2000000]
5	0.0288086	[0:0]	[2000000:2000000]
5	0.0244141	[0:0]	[2000000:2000000]
5	0.0231934	[0:0]	[2000000:2000000]
5	-0.0102539	[0:0]	[2000000:2000000]
5	0.0187988	[0:0]	[2000000:2000000]
5	0.0480957	[0:0]	[2000000:2000000]
5	0.0402832	[0:0]	[2000000:2000000]
5	0.0319824	[0:0]	[2000000:2000000]
5	-0.0200195	[0:0]	[2000000:2000000]
5	0.00195312	[0:0]	[2000000:2000000]
5	0.0424805	[0:0]	[2000000:2000000]
5	0.0461426	[0:0]	[2000000:2000000]
5	0.0175781	[0:0]	[2000000:2000000]
5	0.00439453	[0:0]	[2000000:2000000]
5	0.0224609	[0:0]	[2000000:2000000]
5	0.029541	[0:0]	[2000000:2000000]
5	0.0437012	[0:0]	[2000000:2000000]
5	-0.00878906	[0:0]	[2000000:2000000]
5	0.0195312	[0:0]	[2000000:2000000]
5	0.0532227	[0:0]	[2000000:2000000]
5	-0.000976562	[0:0]	[2000000:2000000]
5	0.00561523	[0:0]	[2000000:2000000]
5	-0.0310059	[0:0]	[2000000:2000000]
5	0.00195312	[0:0]	[2000000:2000000]
5	0.0410156	[0:0]	[2000000:2000000]
5	-0.0332031	[0:0]	[2000000:2000000]
5	-0.00952148	[0:0]	[2000000:2000000]
result : Standing:|

6	-0.00830078	[0:0]	[2000000:2000000]
6	0.0334473	[0:0]	[2000000:2000000]
6	0.0300293	[0:0]	[2000000:2000000]
6	-0.0134277	[0:0]	[2000000:2000000]
6	0.017334	[0:0]	[2000000:2000000]
6	0.00415039	[0:0]	[2000000:2000000]
6	0.0327148	[0:0]	[2000000:2000000]
6	0.0532227	[0:0]	[2000000:2000000]
6	-0.128418	[0:0]	[2000000:2000000]
6	0.0505371	[0:0]	[2000000:2000000]
6	0.0178223	[0:0]	[2000000:2000000]
6	-0.0131836	[0:0]	[2000000:2000000]
