#syntax: iterationNumber, AccelX, minX, maxX, minIteration, maxIteration
Start measure: 	76
Stop measure: 	77	Result: BACKWARD
3	0.323975	[-0.390137:0.323975]	[8:28]
3	0.297363	[-0.390137:0.323975]	[8:28]
3	0.278076	[-0.390137:0.323975]	[8:28]
3	0.291748	[-0.390137:0.323975]	[8:28]
3	0.2146	[-0.390137:0.323975]	[8:28]
3	0.190674	[-0.390137:0.323975]	[8:28]
3	0.121338	[-0.390137:0.323975]	[8:28]
3	0.110352	[-0.390137:0.323975]	[8:28]
3	0.045166	[-0.390137:0.323975]	[8:28]
3	0.057373	[-0.390137:0.323975]	[8:28]
3	0.14624	[-0.390137:0.323975]	[8:28]
3	0.157227	[-0.390137:0.323975]	[8:28]
3	0.0776367	[-0.390137:0.323975]	[8:28]
3	0.0656738	[-0.390137:0.323975]	[8:28]
3	0.144775	[-0.390137:0.323975]	[8:28]
3	0.13623	[-0.390137:0.323975]	[8:28]
3	0.132324	[-0.390137:0.323975]	[8:28]
3	0.130859	[-0.390137:0.323975]	[8:28]
3	0.126953	[-0.390137:0.323975]	[8:28]
3	0.0947266	[-0.390137:0.323975]	[8:28]
3	0.107666	[-0.390137:0.323975]	[8:28]
3	0.149902	[-0.390137:0.323975]	[8:28]
3	0.122803	[-0.390137:0.323975]	[8:28]
3	0.120605	[-0.390137:0.323975]	[8:28]
3	0.105713	[-0.390137:0.323975]	[8:28]
3	0.119141	[-0.390137:0.323975]	[8:28]
3	0.122803	[-0.390137:0.323975]	[8:28]
3	0.139648	[-0.390137:0.323975]	[8:28]
3	0.124268	[-0.390137:0.323975]	[8:28]
3	0.126465	[-0.390137:0.323975]	[8:28]
3	0.115234	[-0.390137:0.323975]	[8:28]
3	0.131836	[-0.390137:0.323975]	[8:28]
3	0.133057	[-0.390137:0.323975]	[8:28]
3	0.14624	[-0.390137:0.323975]	[8:28]
3	0.110107	[-0.390137:0.323975]	[8:28]
3	0.119873	[-0.390137:0.323975]	[8:28]
3	0.123535	[-0.390137:0.323975]	[8:28]
3	0.135254	[-0.390137:0.323975]	[8:28]
